Name,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,ALLSTAR,YEAR,PK,POS
Troy Bell,122.0,95.0,35.7,6.2,14.7,0.424,3.8,8.1,0.467,2.5,6.6,0.37200000000000005,6.6,7.6,0.868,1.8,2.5,4.0,3.5,2.2,0.3,2.9,2.3,21.6,5.85,No,2003,16,Guard
Shane Battier,146.0,39.0,31.4,4.5,8.9,0.5,2.8,4.9,0.57,1.7,4.1,0.41600000000000004,3.0,3.8,0.777,2.4,4.9,6.1,1.6,1.8,1.7,1.2,1.6,13.6,10.08,No,2001,6,Forward
Brandon Armstrong,65.0,30.0,30.4,6.6,15.1,0.439,4.4,9.5,0.467,2.2,5.6,0.391,2.7,3.2,0.8240000000000001,1.2,2.1,3.2,1.5,1.7,0.2,1.9,2.6,18.1,2.56,No,2001,23,Guard
O.J. Mayo,33.0,32.0,36.8,7.2,16.2,0.442,4.5,9.7,0.46399999999999997,2.7,6.5,0.409,3.7,4.6,0.8029999999999999,1.1,3.5,4.5,3.3,1.5,0.4,3.5,2.4,20.7,8.59,No,2008,3,Guard
Ryan Hollins,113.0,61.0,20.2,2.0,3.5,0.575,2.0,3.5,0.574,0.0,0.0,1.0,1.7,2.9,0.591,1.6,2.5,4.0,0.4,0.2,0.9,1.4,2.4,5.7,7.98,No,2006,50,Center
DeMar DeRozan,35.0,35.0,33.4,5.5,10.5,0.523,5.3,9.5,0.562,0.2,1.0,0.16699999999999998,2.7,4.2,0.6459999999999999,2.4,3.3,5.7,1.5,0.9,0.4,2.1,2.1,13.9,9.15,Yes,2009,9,Guard
Adreian Payne,138.0,94.0,20.0,3.2,6.2,0.526,2.8,5.1,0.551,0.4,1.1,0.409,2.0,2.7,0.755,1.5,3.8,5.3,0.6,0.6,1.0,1.4,2.2,8.9,10.35,No,2014,15,Forward
Andrew Goudelock,140.0,124.0,32.8,6.8,14.9,0.457,4.0,8.1,0.494,2.8,6.8,0.413,1.9,2.2,0.838,0.6,2.7,3.3,3.0,0.9,0.3,2.2,1.5,18.4,-2.92,No,2011,46,Guard
Jason Collins,73.0,34.0,22.1,3.6,5.9,0.612,3.4,5.5,0.623,0.2,0.4,0.444,3.4,4.8,0.716,2.7,5.1,6.6,0.8,0.5,1.2,1.5,2.2,10.8,8.87,No,2001,18,Center
Spencer Dinwiddie,86.0,86.0,30.1,3.4,8.0,0.42,2.0,4.6,0.446,1.3,3.5,0.386,4.9,5.9,0.83,0.5,2.9,3.3,2.6,1.1,0.3,1.8,2.1,13.0,7.49,No,2014,38,Guard
Randy Foye,131.0,128.0,31.3,5.2,13.1,0.39899999999999997,3.6,8.1,0.441,1.6,4.9,0.32899999999999996,3.0,3.8,0.7809999999999999,1.4,3.4,4.8,3.2,1.5,0.4,2.9,2.7,15.0,8.37,No,2006,7,Guard
Georges Niang,138.0,126.0,29.8,6.2,12.3,0.5,4.8,8.7,0.5529999999999999,1.4,3.6,0.375,2.5,3.2,0.763,1.2,4.0,5.2,3.1,0.7,0.5,2.3,3.1,16.1,8.83,No,2016,50,Forward
Avery Bradley,34.0,32.0,29.5,4.7,10.8,0.43200000000000005,3.4,7.5,0.457,1.2,3.3,0.375,1.1,1.9,0.545,1.0,1.9,2.9,2.1,1.3,0.5,1.5,2.4,11.6,7.38,No,2010,19,Guard
Shelden Williams,139.0,128.0,28.1,4.9,8.6,0.5720000000000001,4.9,8.6,0.574,0.0,0.1,0.33299999999999996,4.0,5.7,0.6940000000000001,3.2,5.9,9.1,0.9,1.2,3.0,2.3,3.1,13.9,9.51,No,2006,5,Forward
Tony Allen,67.0,62.0,31.4,5.5,11.5,0.47700000000000004,4.7,9.3,0.508,0.8,2.2,0.34700000000000003,3.5,5.2,0.682,1.7,3.7,5.5,2.9,2.0,0.8,2.8,2.9,15.3,7.84,No,2004,25,Guard
Joe Alexander,82.0,70.0,25.3,4.5,10.0,0.447,3.9,7.9,0.488,0.6,2.1,0.295,2.5,3.3,0.765,1.5,3.3,4.8,2.0,0.6,1.2,1.8,2.2,12.1,7.04,No,2008,8,Forward
Julian Wright,71.0,52.0,24.1,4.4,8.0,0.555,4.4,7.7,0.565,0.0,0.2,0.188,1.5,2.5,0.591,2.1,4.2,6.3,2.0,1.2,1.3,2.2,2.1,10.4,7.23,No,2007,13,Forward
Jonny Flynn,73.0,73.0,36.5,5.6,12.2,0.46,4.2,8.1,0.525,1.4,4.2,0.33299999999999996,4.0,5.1,0.782,0.6,2.1,2.7,6.0,1.5,0.2,3.1,1.5,16.6,8.72,No,2009,6,Guard
Brandon Knight,38.0,38.0,35.9,5.7,13.5,0.423,3.4,7.4,0.461,2.3,6.1,0.377,3.6,4.5,0.795,0.7,3.4,4.0,4.2,0.7,0.2,3.2,2.2,17.3,8.91,No,2011,8,Guard
Rondae Hollis-Jefferson,76.0,31.0,27.0,3.4,6.9,0.496,3.3,6.4,0.52,0.1,0.5,0.205,3.3,4.7,0.6970000000000001,2.1,4.1,6.3,1.5,0.9,0.9,1.4,2.4,10.2,8.23,No,2015,23,Forward
Jason Kapono,127.0,93.0,34.0,5.5,11.7,0.469,3.0,6.1,0.489,2.5,5.6,0.446,3.0,3.6,0.83,1.6,3.7,5.1,2.1,0.9,0.1,2.3,2.3,16.5,10.67,No,2003,31,Forward
Kenny Satterfield,68.0,34.0,31.5,3.9,9.8,0.40299999999999997,3.0,6.8,0.43700000000000006,1.0,3.0,0.32299999999999995,3.1,3.9,0.78,1.2,3.5,4.1,5.2,1.4,0.1,3.3,2.4,11.9,8.17,No,2001,54,Guard
Andrew Nicholson,123.0,118.0,29.9,6.6,11.4,0.575,6.3,10.8,0.586,0.2,0.6,0.377,3.7,5.1,0.72,2.2,5.0,7.2,0.7,0.5,2.0,2.4,3.0,17.1,1.35,No,2012,19,Forward
Marcus Smart,64.0,63.0,33.1,4.9,11.9,0.413,3.5,7.3,0.488,1.4,4.6,0.295,5.5,7.3,0.7509999999999999,1.5,4.4,5.9,4.5,2.9,0.6,3.0,2.9,16.6,7.53,No,2014,6,Guard
Jevon Carter,144.0,112.0,29.9,4.1,10.0,0.40700000000000003,2.4,5.3,0.45299999999999996,1.7,4.7,0.355,2.4,3.0,0.7979999999999999,0.9,2.8,3.7,3.9,2.3,0.2,1.8,2.5,12.2,9.53,No,2018,32,Guard
Shawne Williams,36.0,34.0,27.8,4.3,10.4,0.41600000000000004,3.0,6.1,0.489,1.3,4.3,0.312,3.2,4.0,0.7859999999999999,1.7,4.4,6.2,1.9,1.4,1.4,2.3,2.9,13.2,4.24,No,2006,17,Forward
Kadeem Allen,68.0,61.0,27.5,3.0,6.6,0.45899999999999996,2.3,4.8,0.48200000000000004,0.7,1.8,0.4,2.3,3.1,0.725,0.3,3.3,3.6,3.3,1.3,0.7,2.0,2.4,9.1,7.43,No,2017,53,Guard
Dijon Thompson,117.0,72.0,27.8,4.6,10.0,0.46399999999999997,3.5,6.8,0.51,1.1,3.1,0.36200000000000004,2.1,2.7,0.7809999999999999,1.4,3.3,4.7,2.0,1.1,0.3,2.4,1.8,12.5,8.61,No,2005,54,Guard
Fred Jones,125.0,60.0,28.2,4.4,9.2,0.48100000000000004,3.3,5.7,0.568,1.2,3.5,0.33799999999999997,3.1,3.9,0.805,1.9,3.6,5.0,2.9,1.2,0.6,2.4,2.5,13.2,8.05,No,2002,14,Guard
Sterling Brown,32.0,0.0,4.9,0.6,1.4,0.435,0.4,0.9,0.483,0.2,0.5,0.353,0.3,0.5,0.5329999999999999,0.3,0.4,0.8,0.4,0.1,0.0,0.3,0.7,1.7,10.11,No,2017,46,Guard
Jon Brockman,131.0,129.0,28.7,5.5,10.3,0.534,5.5,10.3,0.534,0.0,0.0,0.0,2.8,4.6,0.612,3.7,6.1,9.8,1.0,0.8,0.1,2.1,2.8,13.8,7.16,No,2009,38,Forward
Jared Sullinger,74.0,72.0,31.0,6.1,11.5,0.53,5.8,10.8,0.541,0.3,0.7,0.365,4.9,6.7,0.733,3.3,6.4,9.7,1.2,1.1,0.8,1.8,2.7,17.3,8.73,No,2012,21,Forward
Kirk Hinrich,141.0,118.0,29.7,4.4,8.8,0.493,2.7,5.0,0.542,1.7,3.9,0.43,2.0,2.6,0.7759999999999999,0.9,3.3,3.8,4.7,1.5,0.4,2.7,2.7,12.4,9.68,No,2003,7,Guard
Daniel Hamilton,71.0,71.0,31.6,4.2,10.9,0.384,2.9,7.1,0.409,1.3,3.9,0.337,2.0,2.6,0.772,1.0,7.3,8.3,4.2,1.0,0.4,2.3,2.1,11.7,5.25,No,2016,56,Guard
Derrick Rose,40.0,39.0,29.2,5.2,10.9,0.47700000000000004,4.3,8.3,0.521,0.9,2.6,0.337,3.7,5.1,0.7120000000000001,1.4,3.2,4.5,4.7,1.2,0.4,2.7,1.7,14.9,5.76,Yes,2008,1,Guard
Luke Kennard,73.0,47.0,31.2,5.2,11.2,0.461,3.2,6.1,0.526,2.0,5.1,0.38299999999999995,3.4,3.9,0.867,1.1,3.3,4.3,2.0,0.9,0.3,1.2,2.1,15.7,10.75,No,2017,12,Guard
Patrick McCaw,65.0,48.0,31.7,4.2,9.6,0.439,2.3,4.3,0.527,1.9,5.2,0.36700000000000005,1.9,2.5,0.753,0.9,3.3,4.2,3.3,2.0,0.4,1.9,1.9,12.2,3.28,No,2016,38,Guard
Devin Ebanks,69.0,65.0,32.1,4.0,8.6,0.46299999999999997,3.9,7.6,0.51,0.1,1.0,0.114,3.1,4.2,0.736,2.8,5.2,7.9,2.6,0.9,0.7,2.1,1.7,11.2,9.3,No,2010,43,Forward
Caleb Swanigan,69.0,69.0,29.2,5.1,10.2,0.501,4.2,7.9,0.537,0.9,2.3,0.376,3.3,4.4,0.76,2.2,8.2,10.4,2.4,0.4,0.5,3.0,2.5,14.4,8.12,No,2017,26,Forward
Jordan Bell,105.0,62.0,24.7,3.3,5.4,0.61,3.3,5.2,0.622,0.0,0.2,0.188,1.2,1.8,0.63,2.1,4.7,6.8,1.5,1.1,2.2,1.5,2.3,7.8,8.23,No,2017,38,Forward
Iman Shumpert,92.0,91.0,31.3,4.2,10.6,0.396,3.0,6.7,0.45,1.2,4.0,0.305,3.1,4.1,0.738,1.1,3.4,4.5,4.2,2.3,0.2,3.0,2.7,12.7,7.34,No,2011,17,Guard
Daniel Orton,38.0,0.0,13.2,1.3,2.4,0.527,1.3,2.3,0.539,0.0,0.1,0.0,0.9,1.7,0.524,1.2,2.1,3.3,0.4,0.6,1.4,1.0,2.3,3.4,6.82,No,2010,29,Center
Sviatoslav Mykhailiuk,136.0,70.0,22.6,3.1,7.3,0.428,1.4,3.0,0.455,1.7,4.3,0.409,0.7,1.0,0.746,0.7,1.8,2.5,1.5,0.7,0.2,1.1,1.7,8.7,11.86,No,2018,47,Guard
Andre Iguodala,62.0,34.0,25.4,3.3,7.8,0.424,2.8,5.9,0.473,0.5,1.9,0.27399999999999997,2.5,3.3,0.738,2.2,4.4,6.6,3.4,1.5,0.5,2.1,2.2,9.6,7.79,Yes,2004,9,Guard
Kenneth Faried,136.0,122.0,29.1,5.8,10.1,0.569,5.7,10.0,0.5720000000000001,0.0,0.1,0.25,3.2,5.6,0.583,4.4,7.9,12.3,0.9,1.7,1.8,2.2,3.1,14.8,-4.03,No,2011,22,Forward
Luke Walton,129.0,65.0,27.2,3.3,7.6,0.426,2.8,5.9,0.47,0.5,1.8,0.284,2.1,3.1,0.685,1.6,3.9,5.1,4.5,1.2,0.4,2.6,1.8,9.1,10.92,No,2003,32,Forward
T.J. Ford,66.0,66.0,33.0,4.3,10.5,0.406,3.9,9.0,0.436,0.3,1.5,0.228,4.0,5.0,0.8009999999999999,0.7,3.2,3.8,8.0,2.1,0.1,3.6,2.6,12.9,9.63,No,2003,8,Guard
Cody Zeller,72.0,72.0,29.0,5.5,9.4,0.5920000000000001,5.5,9.3,0.594,0.0,0.0,0.0,5.0,6.6,0.7559999999999999,2.6,4.7,7.3,1.3,1.2,1.2,2.0,2.5,16.1,8.09,No,2013,4,Center
Adam Morrison,95.0,62.0,30.6,7.0,14.0,0.503,5.7,10.3,0.551,1.3,3.7,0.368,4.2,5.5,0.7609999999999999,1.3,3.8,5.1,2.0,0.7,0.4,1.7,1.7,19.7,4.24,No,2006,3,Forward
Darius Johnson-Odom,105.0,90.0,30.8,5.3,12.0,0.444,3.2,6.7,0.47600000000000003,2.1,5.2,0.40299999999999997,3.0,4.1,0.722,0.5,2.5,3.1,2.5,0.9,0.2,2.1,2.3,15.7,8.08,No,2012,55,Guard
Robin Lopez,67.0,61.0,24.3,3.5,6.9,0.511,3.5,6.9,0.511,0.0,0.0,0.5,1.9,3.1,0.612,2.6,3.1,5.6,0.8,0.3,2.3,1.6,2.5,9.0,8.0,No,2008,15,Center
Brook Lopez,53.0,43.0,28.0,6.1,12.7,0.48,6.1,12.3,0.491,0.1,0.4,0.14300000000000002,3.7,4.9,0.764,2.3,4.8,7.1,1.1,0.5,1.9,2.1,2.6,16.0,8.0,Yes,2008,10,Center
Luke Harangody,129.0,108.0,29.2,7.3,15.3,0.47600000000000003,6.9,14.3,0.486,0.3,1.0,0.326,4.4,5.6,0.782,3.0,6.5,9.5,1.6,0.8,0.7,1.8,2.4,19.2,6.73,No,2010,52,Forward
Jerami Grant,72.0,29.0,21.9,2.6,5.3,0.486,2.5,5.1,0.496,0.1,0.3,0.3,2.2,3.5,0.6409999999999999,1.7,2.9,4.7,0.9,0.6,0.5,0.9,1.8,7.5,7.91,No,2014,39,Forward
Gary Harris,69.0,67.0,31.0,5.0,11.4,0.44,2.9,5.7,0.503,2.1,5.6,0.376,2.7,3.5,0.7879999999999999,1.0,2.3,3.3,2.0,1.6,0.3,1.6,2.0,14.9,9.96,No,2014,19,Guard
Nick Johnson,108.0,101.0,30.9,4.1,9.7,0.42100000000000004,2.8,6.0,0.45899999999999996,1.3,3.7,0.359,2.8,3.9,0.7340000000000001,0.6,3.1,3.7,2.8,1.3,0.6,1.8,2.0,12.3,7.04,No,2014,42,Guard
Jordan Mickey,65.0,65.0,33.8,5.6,10.8,0.518,5.6,10.6,0.527,0.0,0.2,0.071,2.9,4.3,0.669,2.7,6.1,8.8,1.2,0.8,3.4,2.8,2.4,14.0,6.12,No,2015,33,Forward
Deron Williams,101.0,98.0,31.7,4.0,9.4,0.42200000000000004,2.3,5.1,0.46399999999999997,1.6,4.3,0.374,1.5,2.1,0.685,0.4,2.9,3.3,5.9,1.1,0.2,2.4,2.2,11.0,7.44,Yes,2005,3,Guard
Darren Collison,142.0,104.0,29.2,4.0,8.3,0.475,2.8,5.7,0.494,1.2,2.7,0.435,2.5,2.9,0.851,0.4,1.8,2.3,4.1,1.6,0.1,2.4,1.4,11.5,8.25,No,2009,21,Guard
Zach Collins,39.0,0.0,17.3,3.5,5.3,0.652,3.2,4.8,0.672,0.3,0.5,0.47600000000000003,2.8,3.8,0.743,1.7,4.2,5.9,0.4,0.5,1.8,1.5,2.7,10.0,4.13,No,2017,10,Center
Evan Turner,101.0,94.0,32.8,5.3,10.6,0.502,4.8,9.1,0.525,0.5,1.5,0.36200000000000004,3.8,5.0,0.758,1.5,5.3,6.8,4.1,1.6,0.7,3.5,2.7,15.0,7.86,No,2010,2,Guard
Nikola Vucevic,87.0,67.0,27.7,4.2,8.3,0.509,3.8,6.9,0.551,0.4,1.4,0.303,2.2,2.9,0.746,2.4,5.5,8.0,1.1,0.5,1.1,1.5,2.4,11.1,7.86,Yes,2011,16,Center
Kevin Durant,35.0,35.0,35.9,8.7,18.5,0.473,6.4,12.7,0.505,2.3,5.8,0.40399999999999997,6.0,7.3,0.816,3.0,8.1,11.1,1.3,1.9,1.9,2.8,2.0,25.8,6.12,Yes,2007,2,Forward
Brandon Ingram,36.0,34.0,34.6,5.9,13.4,0.442,3.7,8.0,0.46399999999999997,2.2,5.4,0.41,3.2,4.7,0.682,1.9,4.9,6.8,2.0,1.1,1.4,2.0,2.1,17.3,10.59,No,2016,2,Forward
Mike Scott,55.0,33.0,22.9,1.9,5.0,0.389,1.5,3.6,0.429,0.4,1.4,0.28600000000000003,1.9,2.8,0.677,1.5,2.1,3.5,2.0,1.3,0.1,1.6,2.9,6.2,-5.05,No,2012,43,Forward
Jordan Hamilton,93.0,38.0,14.8,1.5,3.5,0.425,0.9,1.6,0.547,0.6,1.9,0.324,0.7,1.0,0.753,0.5,0.9,1.4,0.5,0.3,0.3,0.7,1.7,4.3,-6.72,No,2011,26,Guard
Kyle Singler,148.0,147.0,33.0,5.5,12.7,0.433,3.7,7.7,0.479,1.8,5.0,0.363,3.4,4.3,0.773,2.4,4.4,6.9,2.0,1.1,0.7,2.1,2.6,16.2,8.97,No,2011,33,Forward
Matt Barnes,121.0,57.0,22.6,3.3,7.1,0.469,2.8,5.5,0.514,0.5,1.6,0.314,1.7,2.9,0.5660000000000001,2.1,4.7,4.8,2.0,1.0,0.4,2.0,2.2,8.8,10.45,No,2002,46,Forward
J.J. Redick,139.0,134.0,34.0,5.9,13.7,0.433,2.6,5.6,0.47200000000000003,3.3,8.1,0.406,4.8,5.2,0.912,0.5,2.2,2.7,2.2,1.1,0.1,2.1,1.6,19.9,9.51,No,2006,11,Guard
Steve Novak,126.0,89.0,27.0,3.8,8.4,0.456,1.0,2.3,0.44299999999999995,2.8,6.1,0.461,1.9,2.1,0.9309999999999999,1.0,3.2,4.2,1.0,0.5,0.1,1.1,2.0,12.4,6.07,No,2006,32,Forward
Ben Simmons,33.0,32.0,34.9,6.5,11.7,0.56,6.5,11.6,0.561,0.0,0.1,0.33299999999999996,6.0,9.0,0.67,3.1,8.6,11.8,4.8,2.0,0.8,3.4,2.8,19.2,7.0,Yes,2016,1,Guard
Derrick Favors,36.0,35.0,27.5,5.0,8.1,0.611,5.0,8.1,0.613,0.0,0.0,0.0,2.5,4.0,0.629,3.0,5.4,8.4,1.0,0.9,2.1,2.5,2.6,12.4,9.02,No,2010,3,Forward
Jodie Meeks,81.0,42.0,27.7,4.8,10.9,0.436,2.6,5.2,0.491,2.2,5.7,0.386,3.7,4.1,0.89,0.7,2.4,3.0,1.6,1.1,0.1,1.8,1.6,15.4,7.77,No,2009,41,Guard
Kirk Haston,96.0,28.0,26.8,5.7,12.0,0.473,5.4,11.2,0.48,0.3,0.7,0.366,3.0,4.2,0.7170000000000001,2.4,6.3,7.8,1.2,0.8,1.1,2.0,2.7,14.6,10.88,No,2001,16,Forward
James Harden,69.0,68.0,35.0,6.0,11.9,0.506,4.6,8.0,0.57,1.5,3.9,0.376,5.4,7.2,0.755,1.3,4.1,5.4,3.7,1.9,0.4,3.0,2.5,19.0,7.05,Yes,2009,3,Guard
De'Anthony Melton,36.0,25.0,27.0,2.8,6.4,0.43700000000000006,2.2,4.4,0.51,0.6,2.1,0.284,2.1,3.0,0.706,1.4,3.3,4.7,3.5,1.9,1.0,1.8,2.3,8.3,6.4,No,2018,46,Guard
Jared Jeffries,70.0,70.0,32.6,5.0,11.2,0.45,4.5,9.5,0.47200000000000003,0.6,1.7,0.325,3.8,5.8,0.643,2.4,4.8,7.2,2.2,1.2,1.3,2.9,2.7,14.4,11.56,No,2002,11,Forward
Linas Kleiza,49.0,28.0,28.7,4.7,11.3,0.413,3.9,8.6,0.45299999999999996,0.8,2.8,0.287,4.3,6.1,0.7070000000000001,2.5,5.4,7.9,1.3,0.6,0.3,2.4,2.9,14.4,9.14,No,2005,27,Forward
Tristan Thompson,128.0,99.0,25.5,3.6,8.2,0.439,2.2,4.6,0.47200000000000003,1.4,3.6,0.396,4.1,5.0,0.816,0.6,2.1,2.8,1.3,0.6,0.1,1.7,1.8,12.7,-3.82,No,2011,4,Forward
Donovan Mitchell,65.0,38.0,26.0,4.1,9.8,0.418,2.6,5.2,0.49700000000000005,1.5,4.6,0.32899999999999996,2.0,2.5,0.7879999999999999,1.1,3.0,4.1,2.2,1.5,0.3,1.3,2.6,11.7,9.44,No,2017,13,Guard
Deandre Ayton,35.0,35.0,33.5,7.9,12.9,0.612,7.5,11.9,0.635,0.3,1.0,0.34299999999999997,4.0,5.5,0.733,3.4,8.2,11.6,1.6,0.6,1.9,2.0,2.3,20.1,6.84,No,2018,1,Center
James Johnson,127.0,127.0,33.7,4.6,11.9,0.385,2.9,7.3,0.39399999999999996,1.7,4.6,0.37,2.8,3.5,0.792,0.8,2.7,3.5,3.8,1.5,0.1,2.2,2.3,13.6,-7.53,No,2009,16,Forward
Jarrett Jack,101.0,100.0,32.3,4.0,8.4,0.478,3.1,5.9,0.53,0.9,2.6,0.359,3.6,4.5,0.7959999999999999,0.4,4.0,4.5,5.4,1.8,0.1,3.3,2.0,12.5,9.64,No,2005,22,Guard
Ryan Kelly,41.0,0.0,16.3,0.7,1.2,0.529,0.7,1.2,0.54,0.0,0.0,0.0,0.4,0.9,0.474,0.7,1.2,1.9,0.4,0.2,0.3,0.6,2.2,1.8,-2.08,No,2013,48,Forward
Tobias Harris,34.0,33.0,29.2,5.4,11.8,0.46,4.8,9.6,0.49700000000000005,0.7,2.2,0.303,3.8,5.0,0.753,2.0,5.3,7.3,1.3,0.7,0.9,1.8,2.1,15.3,8.73,No,2011,19,Forward
Willie Green,124.0,87.0,30.0,5.2,11.4,0.461,4.3,8.6,0.495,1.0,2.8,0.35200000000000004,2.9,3.8,0.757,1.1,3.6,4.2,2.2,0.9,0.3,2.0,2.3,14.3,0.88,No,2003,41,Guard
Jaron Blossomgame,128.0,125.0,30.7,4.9,10.0,0.488,4.1,7.7,0.541,0.8,2.4,0.316,3.0,4.1,0.7240000000000001,1.9,4.6,6.5,1.1,0.6,0.7,1.5,1.6,13.5,7.5,No,2017,59,Forward
Kareem Rush,84.0,60.0,30.2,6.5,14.7,0.445,3.9,8.3,0.46399999999999997,2.7,6.4,0.42200000000000004,3.1,4.0,0.777,1.7,4.1,5.4,2.1,1.2,0.6,2.8,2.3,18.9,8.07,No,2002,20,Guard
D'Angelo Russell,35.0,34.0,33.9,6.6,14.7,0.449,3.9,8.1,0.479,2.7,6.6,0.41100000000000003,3.4,4.5,0.7559999999999999,1.0,4.7,5.7,5.0,1.6,0.3,2.9,2.1,19.3,7.37,Yes,2015,2,Guard
Nick Fazekas,131.0,119.0,30.1,6.9,12.9,0.532,6.0,10.3,0.579,0.9,2.6,0.341,4.2,5.1,0.815,2.5,7.1,9.6,1.3,0.7,1.5,1.7,2.0,18.8,3.05,No,2007,34,Forward
Terrence Williams,140.0,127.0,32.2,4.1,10.3,0.4,2.7,6.0,0.457,1.4,4.4,0.32,1.5,2.6,0.589,1.5,5.5,6.9,3.9,1.5,0.6,2.4,1.9,11.2,7.65,No,2009,11,Forward
Cory Jefferson,130.0,76.0,19.9,3.3,6.1,0.5429999999999999,3.2,5.7,0.556,0.1,0.4,0.34,2.2,3.3,0.66,1.9,3.7,5.6,0.4,0.3,1.3,0.8,1.7,8.9,8.32,No,2014,60,Forward
Tyler Honeycutt,59.0,51.0,31.7,3.6,8.4,0.431,2.5,5.3,0.473,1.1,3.1,0.359,2.0,2.9,0.684,1.7,5.2,6.9,2.8,1.2,1.7,2.8,1.9,10.3,7.9,No,2011,35,Forward
Blake Griffin,68.0,63.0,30.9,7.1,11.5,0.618,7.1,11.4,0.622,0.0,0.1,0.3,4.5,7.7,0.589,3.6,8.3,11.8,2.1,1.1,1.0,2.8,2.5,18.8,7.37,Yes,2009,1,Forward
Noah Vonleh,30.0,29.0,26.5,3.8,7.2,0.523,3.2,6.1,0.53,0.5,1.1,0.485,3.2,4.5,0.716,2.4,6.6,9.0,0.6,0.9,1.4,2.1,2.7,11.3,6.64,No,2014,9,Forward
Rasual Butler,110.0,60.0,38.3,6.8,16.7,0.409,4.3,9.6,0.447,2.6,7.1,0.359,3.1,3.7,0.8290000000000001,2.1,4.8,5.9,1.6,1.0,1.1,2.7,1.8,19.3,3.11,No,2002,53,Forward
