Name,MP,2PA,2P%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,ALLSTAR_Yes,POS_Forward,POS_Guard
Greg Monroe,32.6,9.3,0.5579999999999999,0.5,0.273,5.5,0.677,8.2,3.2,1.5,1.5,2.9,2.5,14.5,0,0,0
Jarron Collins,24.5,5.4,0.527,0.1,0.25,3.9,0.669,5.5,1.1,0.6,0.4,1.3,1.8,8.4,0,1,0
Jordan Adams,30.2,7.3,0.5479999999999999,4.3,0.331,5.0,0.8390000000000001,4.6,2.1,2.4,0.2,1.4,2.1,16.4,0,0,1
Reggie Jackson,28.0,6.4,0.527,3.5,0.35100000000000003,3.0,0.753,4.4,3.5,0.8,0.5,2.1,1.7,12.7,0,0,1
Tony Snell,24.8,2.9,0.48,4.2,0.38,1.9,0.821,2.4,2.0,0.5,0.3,1.5,1.2,9.2,0,0,1
Montrezl Harrell,26.4,7.8,0.6,0.4,0.275,3.6,0.5329999999999999,6.9,0.9,0.8,1.1,1.3,1.9,11.6,0,1,0
Spencer Hawes,28.9,11.6,0.5329999999999999,0.1,0.333,3.2,0.755,6.4,1.9,0.5,1.7,2.5,2.3,14.9,0,0,0
Luke Babbitt,34.9,11.0,0.494,2.6,0.421,5.8,0.893,8.1,1.8,0.9,0.8,2.1,2.2,19.4,0,1,0
Russell Westbrook,21.9,5.3,0.491,1.3,0.354,2.4,0.685,2.4,2.5,1.0,0.1,1.6,1.7,8.3,1,0,1
Robbie Hummel,30.2,6.0,0.483,4.4,0.389,3.7,0.841,6.8,2.1,1.0,0.9,1.1,2.4,14.0,0,1,0
Kris Dunn,31.5,7.8,0.476,2.2,0.354,4.5,0.693,5.1,5.8,2.2,0.4,3.3,2.9,12.8,0,0,1
E'Twaun Moore,32.3,8.1,0.473,4.6,0.38,3.3,0.7290000000000001,4.4,2.9,1.2,0.4,2.1,2.3,15.3,0,0,1
Melvin Ely,32.5,11.0,0.578,0.0,0.333,4.6,0.648,7.5,1.1,0.8,2.9,2.4,2.3,15.7,0,0,0
Richard Jefferson,26.3,6.2,0.528,1.9,0.368,3.5,0.718,5.0,2.8,0.6,0.8,2.7,2.6,11.2,0,1,0
Juan Dixon,28.4,7.8,0.513,4.4,0.389,3.6,0.85,4.2,2.6,2.4,0.2,2.5,2.0,16.1,0,0,1
Trevor Booker,28.4,8.6,0.574,0.5,0.324,3.9,0.624,7.9,1.7,1.1,1.9,1.9,2.3,12.9,0,1,0
Lonzo Ball,35.1,4.1,0.732,5.4,0.412,2.7,0.6729999999999999,6.0,7.6,1.8,0.8,2.5,1.8,14.6,0,0,1
Dillon Brooks,28.9,8.0,0.518,3.4,0.362,3.5,0.794,4.5,2.6,0.9,0.5,2.1,2.9,14.8,0,1,0
Kevin Love,29.6,8.3,0.611,2.1,0.354,6.6,0.767,10.6,1.9,0.7,1.4,2.0,1.9,17.5,1,1,0
Chris McCullough,28.1,7.0,0.473,0.1,1.0,4.4,0.563,6.9,1.1,1.7,2.1,2.2,2.6,9.3,0,1,0
Jamaal Franklin,25.9,6.2,0.504,3.8,0.302,5.1,0.78,7.0,1.9,1.0,0.6,2.6,2.1,13.7,0,0,1
Renaldo Balkman,21.1,5.0,0.581,0.5,0.29100000000000004,2.2,0.5329999999999999,5.3,1.7,1.2,1.1,1.7,2.1,7.4,0,1,0
K.J. McDaniels,24.3,5.8,0.516,2.8,0.313,3.2,0.767,4.8,0.9,0.9,1.9,1.5,1.8,11.0,0,0,1
Hakim Warrick,31.0,10.3,0.544,0.3,0.25,5.9,0.659,7.6,1.5,1.0,0.9,2.3,2.4,15.4,0,1,0
JaVale McGee,18.7,5.9,0.563,0.7,0.35600000000000004,2.7,0.514,4.8,0.3,0.5,1.8,1.6,2.0,8.7,0,0,0
Nik Stauskas,32.9,4.0,0.5,5.2,0.441,3.9,0.8320000000000001,2.9,2.3,0.6,0.3,1.5,1.0,14.1,0,0,1
Jonathan Isaac,26.2,5.2,0.593,2.8,0.348,3.7,0.78,7.8,1.2,1.2,1.5,1.5,2.2,12.0,0,1,0
Justin Hamilton,31.2,3.3,0.589,2.1,0.331,1.2,0.7390000000000001,2.6,2.7,1.5,0.3,1.5,1.4,6.9,0,0,0
Wilson Chandler,31.1,8.8,0.487,2.6,0.303,3.0,0.659,7.1,1.2,0.7,1.5,1.8,2.9,12.9,0,1,0
Marcus Williams,27.9,5.2,0.413,2.1,0.375,3.0,0.7909999999999999,3.2,7.3,1.0,0.2,3.2,1.7,9.0,0,0,1
Brandon Rush,31.3,6.6,0.458,4.3,0.435,2.5,0.733,5.5,2.0,0.7,0.8,2.1,1.5,13.6,0,0,1
Damian Lillard,32.3,6.5,0.4970000000000001,6.1,0.39,5.8,0.867,4.3,3.5,1.2,0.2,2.4,2.1,18.6,1,0,1
Shannon Brown,28.0,6.3,0.503,3.1,0.364,3.0,0.831,3.4,1.9,1.3,0.1,2.0,1.9,12.2,0,0,1
Nate Robinson,28.2,6.9,0.523,4.1,0.348,3.7,0.7929999999999999,3.9,3.2,1.6,0.1,2.0,2.6,14.4,0,0,1
Jaylen Brown,27.6,8.1,0.482,3.0,0.294,6.4,0.654,5.4,2.0,0.8,0.6,3.1,3.2,14.6,0,1,0
Devin Booker,24.1,6.4,0.518,0.6,0.275,2.9,0.6579999999999999,5.7,0.8,0.6,0.6,1.6,2.3,9.0,0,0,1
Dajuan Wagner,31.8,12.2,0.453,5.8,0.317,6.4,0.722,2.5,3.6,1.2,0.6,2.9,2.8,21.2,0,0,1
Damion James,29.3,8.4,0.506,2.0,0.364,4.4,0.64,9.3,1.1,1.0,1.1,1.8,2.8,13.5,0,0,1
Rodney Stuckey,33.1,11.9,0.54,5.2,0.317,8.1,0.8059999999999999,4.7,4.8,2.3,0.3,3.5,2.4,24.4,0,0,1
Brandon Roy,27.5,8.6,0.541,1.5,0.344,4.5,0.765,5.0,3.0,1.0,0.5,2.1,2.1,14.3,1,0,1
Kyle Lowry,26.7,6.4,0.463,0.7,0.325,4.0,0.737,3.8,3.0,1.9,0.2,1.9,2.6,9.5,1,0,1
Joakim Noah,21.1,6.2,0.617,0.0,0.5,4.2,0.684,6.4,1.7,0.9,1.7,1.8,2.0,10.5,1,0,0
Jay Williams,33.1,7.2,0.514,7.4,0.393,4.7,0.6709999999999999,3.7,6.0,2.2,0.1,3.9,2.3,19.3,0,0,1
Kentavious Caldwell-Pope,33.0,5.9,0.504,6.9,0.339,3.9,0.752,6.1,1.5,1.9,0.4,1.6,2.2,15.8,0,0,1
Jared Dudley,36.4,8.0,0.5479999999999999,2.5,0.365,6.0,0.731,7.2,3.0,1.4,0.3,2.1,1.9,15.9,0,1,0
Omar Cook,38.2,5.9,0.424,7.6,0.309,4.4,0.742,3.0,8.7,2.3,0.2,5.1,2.8,15.3,0,0,1
Mario Chalmers,28.5,4.4,0.545,3.9,0.419,3.2,0.767,2.8,3.8,2.6,0.4,2.4,2.4,12.2,0,0,1
Jeremy Lamb,32.1,6.6,0.573,4.5,0.348,2.4,0.8059999999999999,4.7,1.7,1.0,0.6,1.6,1.6,14.1,0,0,1
Jabari Parker,30.7,11.2,0.504,3.0,0.358,6.1,0.748,8.7,1.2,1.1,1.2,2.3,2.4,19.1,0,1,0
Meyers Leonard,19.8,5.2,0.585,0.2,0.083,2.2,0.7290000000000001,4.7,0.7,0.3,1.1,1.4,2.2,7.7,0,0,0
Quincy Acy,25.1,6.0,0.604,0.1,0.429,3.6,0.708,6.0,0.6,0.7,1.3,1.5,2.6,9.8,0,1,0
Russ Smith,24.3,7.4,0.449,3.9,0.345,4.8,0.76,2.7,2.8,1.9,0.1,2.4,2.4,14.3,0,0,1
Kirk Snyder,30.8,9.3,0.477,4.1,0.31,6.0,0.677,6.4,2.7,0.9,0.8,3.1,2.4,16.7,0,0,1
Antoine Wright,32.1,7.5,0.439,5.5,0.376,4.0,0.648,5.6,2.1,1.1,0.6,2.3,2.6,15.4,0,0,1
T.J. Warren,31.2,11.5,0.598,2.0,0.315,4.3,0.654,5.7,1.0,1.5,0.5,1.7,2.5,18.5,0,1,0
Skal Labissiere,15.8,5.2,0.521,0.1,0.0,1.7,0.6609999999999999,3.1,0.3,0.3,1.6,0.9,3.0,6.6,0,1,0
Justin Patton,25.3,8.0,0.6829999999999999,0.4,0.5329999999999999,2.5,0.517,6.2,1.2,0.9,1.4,1.7,2.7,12.9,0,0,0
Hamidou Diallo,24.8,6.4,0.458,2.1,0.338,3.4,0.616,3.6,1.2,0.8,0.4,1.4,2.6,10.0,0,0,1
Josh Howard,27.8,8.1,0.522,2.4,0.353,4.0,0.708,6.6,1.9,1.7,1.1,2.2,2.9,13.9,1,1,0
Cory Joseph,32.4,5.4,0.429,3.5,0.413,2.0,0.6990000000000001,3.6,3.0,1.0,0.3,1.5,1.8,10.4,0,0,1
Marcus Paige,32.4,4.8,0.446,5.7,0.374,3.0,0.848,2.8,4.3,1.4,0.2,1.9,1.7,13.3,0,0,1
Sindarius Thornwell,31.8,7.5,0.42,4.0,0.339,5.6,0.7709999999999999,5.2,3.0,1.5,0.6,2.5,2.4,14.7,0,0,1
Marquese Chriss,24.9,8.2,0.568,1.8,0.35,3.8,0.682,5.4,0.8,0.9,1.6,2.0,4.1,13.7,0,1,0
Royal Ivey,24.7,4.9,0.483,1.2,0.338,2.6,0.7090000000000001,3.1,2.3,0.9,0.2,1.5,2.7,7.8,0,0,1
Ryan Gomes,35.1,11.0,0.5489999999999999,2.0,0.35200000000000004,5.3,0.789,8.9,2.3,1.6,0.4,2.3,2.1,18.4,0,1,0
Norman Powell,25.2,5.2,0.5329999999999999,2.5,0.314,2.5,0.746,3.0,1.5,1.1,0.4,1.3,2.0,9.8,0,0,1
Sam Young,25.5,7.8,0.539,2.3,0.35600000000000004,3.4,0.6920000000000001,5.0,1.0,0.8,0.8,1.9,1.7,13.2,0,1,0
Craig Smith,34.0,12.2,0.5720000000000001,0.5,0.239,5.9,0.643,8.6,1.9,1.3,0.8,2.3,2.9,18.1,0,1,0
Paul George,33.9,6.5,0.485,4.9,0.396,4.2,0.8029999999999999,6.7,2.4,2.0,0.9,2.7,2.8,15.5,1,1,0
Derrick White,32.8,7.6,0.569,4.2,0.396,5.4,0.813,4.1,4.4,1.2,1.4,2.4,2.1,18.1,0,0,1
Luke Ridnour,33.6,5.0,0.472,5.4,0.389,4.1,0.8590000000000001,3.0,5.2,1.6,0.1,3.2,2.1,14.6,0,0,1
Harrison Barnes,29.3,9.1,0.469,4.4,0.349,4.3,0.7340000000000001,5.5,1.3,0.9,0.4,1.9,1.9,16.3,0,1,0
Jarell Martin,30.7,8.0,0.541,2.0,0.308,4.5,0.6890000000000001,6.9,1.4,1.0,0.7,2.2,2.6,13.7,0,1,0
De'Aaron Fox,29.6,10.5,0.521,1.9,0.246,5.9,0.736,4.0,4.6,1.5,0.2,2.4,2.5,16.7,0,0,1
Otto Porter,32.5,6.8,0.55,2.4,0.355,3.8,0.7509999999999999,7.1,2.1,1.5,0.9,1.3,2.0,12.8,0,1,0
Dwayne Bacon,28.8,9.3,0.51,4.1,0.312,4.2,0.733,5.0,1.6,1.0,0.1,2.1,1.9,16.5,0,0,1
Mardy Collins,37.5,9.4,0.457,5.0,0.292,3.9,0.624,4.6,3.2,2.3,0.2,2.0,2.3,15.4,0,0,1
Ike Diogu,35.1,10.7,0.591,1.2,0.387,9.4,0.7859999999999999,8.8,1.2,0.4,1.7,3.4,2.8,21.4,0,1,0
Matt Bonner,25.0,5.6,0.564,3.2,0.395,2.5,0.74,5.9,1.2,0.7,0.5,1.6,1.5,12.0,0,1,0
D.J. Strawberry,26.9,5.9,0.503,1.9,0.33,3.7,0.64,3.3,2.9,1.8,0.4,2.2,2.4,10.1,0,0,1
Sean May,27.8,11.1,0.519,0.1,0.0,6.0,0.7170000000000001,10.0,1.5,1.3,1.2,2.4,2.4,15.8,0,1,0
Taylor Griffin,22.3,4.5,0.493,0.5,0.22,2.6,0.721,4.8,1.0,0.9,0.8,1.4,2.5,6.6,0,1,0
Marvin Williams,22.2,5.6,0.522,1.2,0.4320000000000001,4.5,0.847,6.6,0.7,1.1,0.5,1.6,2.6,11.3,0,1,0
Carl Landry,29.9,9.8,0.628,0.7,0.233,7.9,0.7140000000000001,7.1,1.2,1.0,0.8,2.9,3.0,18.4,0,1,0
Jason Richardson,21.7,5.3,0.551,2.1,0.383,2.1,0.649,5.0,1.4,0.8,0.5,1.1,1.9,9.6,0,0,1
Mike Muscala,28.7,10.3,0.51,0.5,0.313,5.2,0.8190000000000001,8.2,1.6,0.4,2.0,1.6,2.3,15.3,0,1,0
Lonny Baxter,24.4,9.3,0.5529999999999999,0.0,0.6,5.2,0.6,7.2,0.7,0.9,1.6,1.6,3.0,13.5,0,1,0
Andrew Harrison,28.6,5.2,0.374,2.4,0.3670000000000001,4.6,0.777,2.7,3.8,0.8,0.2,2.2,2.4,10.1,0,0,1
Buddy Hield,31.7,6.5,0.508,6.8,0.39,3.4,0.836,5.0,1.9,1.3,0.3,2.2,2.0,17.4,0,0,1
Chris Douglas-Roberts,26.1,7.6,0.579,1.8,0.3720000000000001,4.6,0.725,3.7,1.7,1.0,0.4,2.0,1.9,14.2,0,0,1
Myles Turner,22.2,5.7,0.513,1.8,0.274,3.3,0.8390000000000001,6.5,0.6,0.3,2.6,1.4,2.4,10.1,0,0,0
Jeryl Sasser,35.0,10.6,0.438,4.1,0.28,6.2,0.71,8.3,3.2,1.7,0.6,2.7,1.3,17.0,0,0,1
Lance Stephenson,28.2,8.7,0.495,2.1,0.219,3.5,0.664,5.4,2.5,0.9,0.2,2.4,1.9,12.3,0,0,1
Earl Clark,26.7,6.8,0.512,1.8,0.298,3.2,0.64,7.0,1.7,0.9,1.2,2.1,1.7,10.6,0,1,0
Tyler Zeller,23.0,8.6,0.544,0.0,0.0,4.5,0.775,6.7,0.6,0.7,1.1,1.4,2.3,12.8,0,1,0
Pat Connaughton,32.3,3.2,0.5489999999999999,5.0,0.386,1.5,0.777,5.9,1.8,0.7,0.5,1.0,1.7,10.5,0,0,1
John Jenkins,30.6,4.1,0.521,7.1,0.438,3.8,0.856,2.7,1.1,0.7,0.3,1.3,1.2,16.9,0,0,1
Josh Selby,20.4,3.8,0.384,3.6,0.362,1.4,0.757,2.2,2.2,0.8,0.0,2.0,1.7,7.9,0,0,1
Kyle Korver,27.7,2.9,0.515,6.4,0.453,2.7,0.8909999999999999,5.2,2.3,1.3,0.5,1.8,2.3,14.1,1,0,1
Pascal Siakam,32.7,11.5,0.5589999999999999,0.3,0.17600000000000002,5.0,0.711,9.7,1.5,0.9,2.0,1.9,2.6,16.6,0,1,0
Cleanthony Early,26.2,6.2,0.555,4.3,0.348,4.6,0.8190000000000001,5.7,0.7,0.8,0.8,1.7,2.4,15.1,0,1,0
Thomas Welsh,25.0,6.6,0.5539999999999999,0.9,0.407,1.3,0.7979999999999999,7.8,0.8,0.4,1.1,0.7,2.5,9.5,0,0,0
Gerald Wallace,22.9,6.3,0.511,1.8,0.175,4.3,0.568,6.0,1.5,1.2,1.0,2.4,2.4,9.8,1,1,0
Daniel Ewing,27.7,5.0,0.464,4.0,0.392,2.9,0.746,2.8,2.1,1.4,0.2,1.9,2.6,11.6,0,0,1
Al Thornton,22.0,7.2,0.5429999999999999,1.2,0.438,4.2,0.701,5.2,0.7,0.8,0.6,1.7,2.3,12.3,0,1,0
Tyus Jones,33.9,5.1,0.44,3.2,0.379,4.2,0.889,3.5,5.6,1.5,0.1,1.9,1.2,11.8,0,0,1
Chris Paul,33.5,6.4,0.473,2.9,0.47,5.8,0.838,3.9,6.3,2.5,0.2,2.7,2.6,15.0,1,0,1
Danny Green,19.9,4.1,0.522,3.4,0.375,1.6,0.845,4.1,1.8,1.1,1.1,1.4,1.9,9.4,0,0,1
Mike Taylor,35.0,7.3,0.391,6.9,0.36,4.2,0.682,4.1,4.5,1.1,0.1,5.4,2.9,16.0,0,0,1
Tyler Hansbrough,30.9,12.1,0.541,0.3,0.316,8.7,0.7909999999999999,8.6,1.1,1.3,0.5,2.1,2.5,20.2,0,1,0
Caris LeVert,26.4,4.9,0.456,3.2,0.401,2.6,0.77,3.5,2.7,0.9,0.2,1.3,1.5,10.4,0,0,1
Quincy Pondexter,27.3,8.3,0.528,1.2,0.327,4.1,0.768,5.6,1.7,0.8,0.3,1.9,2.5,13.1,0,0,1
Marcus Thornton,32.7,8.9,0.51,6.7,0.382,4.8,0.7709999999999999,5.5,1.8,1.5,0.3,2.0,2.0,20.4,0,0,1
Wayne Ellington,28.5,6.6,0.513,5.0,0.397,2.5,0.809,4.1,2.2,0.9,0.1,1.5,1.5,14.7,0,0,1
Reece Gaines,31.6,6.5,0.502,4.7,0.383,4.9,0.75,3.4,3.8,1.5,0.2,2.7,2.5,15.6,0,0,1
Robert Sacre,21.7,5.9,0.505,0.0,0.25,4.5,0.735,5.0,0.7,0.5,1.4,1.6,2.3,9.3,0,0,0
Ronnie Brewer,33.0,8.5,0.511,3.4,0.34,5.4,0.6709999999999999,5.0,3.3,2.4,0.5,2.3,1.7,15.7,0,0,1
Cameron Bairstow,20.8,6.0,0.519,0.0,0.333,4.2,0.7170000000000001,4.8,0.8,0.5,0.7,1.2,2.1,9.2,0,1,0
C.J. Wilcox,28.5,5.4,0.481,5.9,0.389,2.7,0.84,3.4,1.6,0.9,0.7,1.4,1.9,14.4,0,0,1
Justin Reed,28.7,10.4,0.5,1.3,0.285,4.4,0.7070000000000001,6.3,1.1,1.0,0.7,2.4,3.2,14.6,0,1,0
Rashad McCants,29.2,7.4,0.5379999999999999,5.4,0.415,3.8,0.721,4.1,2.1,1.5,0.6,2.2,2.4,17.6,0,0,1
Lionel Chalmers,31.7,4.7,0.483,5.1,0.3720000000000001,3.4,0.716,2.9,3.3,1.3,0.1,2.7,2.2,12.7,0,0,1
Kevin Martin,31.8,9.1,0.542,6.4,0.34600000000000003,8.0,0.841,4.5,1.7,1.7,0.4,2.9,2.1,23.3,0,0,1
Lauri Markkanen,30.8,5.8,0.545,4.4,0.423,4.4,0.835,7.2,0.9,0.4,0.5,1.1,2.0,15.6,0,1,0
Jameer Nelson,34.5,7.4,0.514,5.0,0.365,4.7,0.7859999999999999,4.6,5.7,2.0,0.1,3.0,2.2,16.8,0,0,1
Chris Singleton,29.1,5.1,0.476,3.3,0.33,3.5,0.5920000000000001,6.2,1.5,1.9,1.4,2.4,3.1,10.3,0,1,0
Charles Jenkins,35.9,10.8,0.482,3.7,0.382,6.2,0.8109999999999999,4.3,3.8,1.7,0.6,3.0,2.5,19.6,0,0,1
Alec Peters,31.7,6.9,0.539,5.2,0.416,4.2,0.846,7.4,1.5,0.8,0.3,1.9,2.1,17.5,0,1,0
Ivan Rabb,30.6,8.5,0.5489999999999999,0.3,0.409,5.2,0.6659999999999999,9.4,1.2,0.6,1.1,1.8,3.1,13.2,0,1,0
Rafael Araujo,27.4,9.8,0.5870000000000001,0.7,0.268,4.5,0.691,9.5,1.2,1.4,0.6,2.9,3.4,15.1,0,0,0
Isaiah Whitehead,30.5,7.8,0.387,5.8,0.359,4.6,0.757,3.7,4.5,1.3,1.1,3.4,2.3,15.8,0,0,1
Melvin Frazier,27.7,5.2,0.5720000000000001,2.8,0.312,3.2,0.653,4.4,1.7,1.6,0.5,2.0,2.0,10.6,0,0,1
Landry Shamet,28.6,3.6,0.542,5.1,0.4370000000000001,2.8,0.8109999999999999,3.0,4.1,0.8,0.2,1.5,2.1,12.9,0,0,1
Tony Wroten,30.3,11.2,0.483,1.6,0.161,7.5,0.583,5.0,3.7,1.9,0.4,3.8,2.7,16.0,0,0,1
Markel Brown,30.5,6.2,0.486,3.1,0.34700000000000003,4.1,0.733,4.3,2.3,1.0,0.8,1.8,2.1,12.4,0,0,1
Kevon Looney,30.9,7.4,0.481,1.5,0.415,4.1,0.626,9.2,1.4,1.3,0.9,1.3,2.9,11.6,0,1,0
Tamar Slay,28.8,6.7,0.491,5.7,0.386,3.4,0.7490000000000001,4.4,2.2,1.2,0.5,2.4,2.3,15.7,0,0,1
Dwight Powell,26.2,7.3,0.484,0.8,0.289,4.1,0.722,6.3,1.8,0.9,0.9,2.1,2.9,10.8,0,1,0
Richaun Holmes,26.5,6.8,0.58,0.9,0.353,3.8,0.6970000000000001,6.9,0.7,0.8,2.6,1.5,2.5,11.5,0,1,0
Eric Bledsoe,30.3,5.0,0.516,3.5,0.383,3.3,0.667,3.1,2.9,1.4,0.3,3.0,2.2,11.3,0,0,1
Kemba Walker,32.9,8.7,0.469,3.5,0.326,5.8,0.7829999999999999,4.4,4.1,1.7,0.3,2.3,1.5,16.1,1,0,1
